Match ID,Event ID
2340357/mad-lions-vs-chaos-flashpoint-1,5242
2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation,5259
2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation,5259
2340588/yeah-vs-alcoholics-anonymous-efire-master-league-north-america,5243
2340556/lucid-dream-vs-d13-esea-open-season-33-asia-pacific,5265
2340521/liquid-vs-mibr-esl-pro-league-season-11-north-america,5246
2340578/alternate-attax-vs-endpoint-esea-advanced-season-33-europe,5252
2340574/rozu-vs-draconic-esea-mdl-season-33-australia-relegation,5259
2340552/ethereal-vs-faint-esea-advanced-season-33-north-america,5253
2340522/furia-vs-mibr-esl-pro-league-season-11-north-america,5246
2340598/blood-sweat-and-tears-vs-ethereal-esea-advanced-season-33-north-america,5253
2340531/buffdaddys-paypal-vs-serac-esea-advanced-season-33-north-america,5253
2340595/blood-sweat-and-tears-vs-timbermen-esea-advanced-season-33-north-america,5253
2340579/prima-vs-skade-esea-advanced-season-33-europe,5252
2340566/fury-vs-rozu-esea-mdl-season-33-australia-relegation,5259
2340092/mousesports-vs-virtuspro-esl-pro-league-season-11-europe,5226
2340407/faze-vs-virtuspro-esl-pro-league-season-11-europe,5226
2340543/yeah-vs-alcoholics-anonymous-efire-master-league-north-america,5243
2340358/funplus-phoenix-vs-c0ntact-flashpoint-1,5242
2340353/copenhagen-flames-vs-havu-flashpoint-1,5242
2340541/alternate-attax-vs-prima-esea-advanced-season-33-europe,5252
2340580/vexed-vs-salamander-esea-advanced-season-33-europe,5252
2340351/chaos-vs-mibr-flashpoint-1,5242
2340569/incept-vs-ex-mc-academy-esea-mdl-season-33-australia-relegation,5259
2340548/ambush-vs-salamander-esea-advanced-season-33-europe,5252
2340417/liquid-vs-furia-esl-pro-league-season-11-north-america,5246
2340280/nip-vs-ence-esl-pro-league-season-11-europe,5226
2340544/station7-vs-thunder-logic-efire-master-league-north-america,5243
2340416/liquid-vs-100-thieves-esl-pro-league-season-11-north-america,5246
2340587/rysix-vs-neverest-liga-dell-3-mar-20,5254
2340403/big-vs-forze-esl-pro-league-season-11-europe,5226
2340562/station7-vs-alcoholics-anonymous-efire-master-league-north-america,5243
2340584/hard-legion-vs-1win-megogo-open,5267
2340354/cloud9-vs-envy-flashpoint-1,5242
2340561/bogatiri-vs-1win-megogo-open,5267
2340420/evil-geniuses-vs-furia-esl-pro-league-season-11-north-america,5246
2340287/og-vs-tyloo-esl-pro-league-season-11-europe,5226
2340108/faze-vs-tyloo-esl-pro-league-season-11-europe,5226
2340359/cloud9-vs-copenhagen-flames-flashpoint-1,5242
2340585/tricked-vs-espada-sector-mostbet-season-2,5247
2340534/big-chillin-vs-faint-esea-advanced-season-33-north-america,5253
2340591/ethereal-vs-trivium-esea-advanced-season-33-north-america,5253
2340405/mousesports-vs-faze-esl-pro-league-season-11-europe,5226
2340570/vertex-vs-rooster-lpl-pro-league-season-4,5228
2340408/mousesports-vs-tyloo-esl-pro-league-season-11-europe,5226
2340414/swole-patrol-vs-liquid-esl-pro-league-season-11-north-america,5246
2340539/d13-vs-hz-esea-open-season-33-asia-pacific,5265
2340600/goliath-vs-big-5-esea-open-season-33-south-africa,5275
2340546/chiefs-vs-rooster-esl-australia-nz-championship-season-10,5236
2340557/espada-vs-pompa-sector-mostbet-season-2,5247
2340586/pompa-vs-skade-sector-mostbet-season-2,5247
2340593/skade-vs-salamander-esea-advanced-season-33-europe,5252
2340603/tricked-vs-skade-sector-mostbet-season-2,5247
2340533/ethereal-vs-timbermen-esea-advanced-season-33-north-america,5253
2340568/mako-vs-markandlarry-esea-mdl-season-33-australia-relegation,5259
2340563/buffdaddys-paypal-vs-polar-ace-esea-advanced-season-33-north-america,5253
2340575/mako-vs-ex-mc-academy-esea-mdl-season-33-australia-relegation,5259
2340529/vexed-vs-endpoint-esea-advanced-season-33-europe,5252
2340360/havu-vs-envy-flashpoint-1,5242
2340558/skade-vs-tricked-sector-mostbet-season-2,5247
2340538/salamander-vs-unique-esea-advanced-season-33-europe,5252
2340559/akatsuki-vs-nosurrender-baltic-masters-season-4-finals,5266
2340363/dignitas-vs-orgless-flashpoint-1,5242
2340415/evil-geniuses-vs-100-thieves-esl-pro-league-season-11-north-america,5246
2340089/natus-vincere-vs-fnatic-esl-pro-league-season-11-europe,5226
2340110/g2-vs-og-esl-pro-league-season-11-europe,5226
2340395/godsent-vs-spirit-esl-pro-league-season-11-europe,5226
2340418/evil-geniuses-vs-swole-patrol-esl-pro-league-season-11-north-america,5246
2340542/fate-vs-ambush-esea-advanced-season-33-europe,5252
2340409/g2-vs-virtuspro-esl-pro-league-season-11-europe,5226
2340523/100-thieves-vs-mibr-esl-pro-league-season-11-north-america,5246
2340104/g2-vs-faze-esl-pro-league-season-11-europe,5226
2340571/paradox-vs-i-sleep-lpl-pro-league-season-4,5228
2340576/fury-vs-esper-esea-mdl-season-33-australia-relegation,5259
2340589/rysix-vs-ex-up-liga-dell-3-mar-20,5254
2340594/asterius-vs-ex-up-liga-dell-3-mar-20,5254
2340582/incept-vs-rozu-esea-mdl-season-33-australia-relegation,5259
2340581/asterius-vs-ex-up-liga-dell-3-mar-20,5254
2340094/g2-vs-tyloo-esl-pro-league-season-11-europe,5226
2340406/mousesports-vs-og-esl-pro-league-season-11-europe,5226
2340572/timbermen-vs-big-chillin-esea-advanced-season-33-north-america,5253
2340352/cloud9-vs-orgless-flashpoint-1,5242
2340532/polar-ace-vs-front-esea-advanced-season-33-north-america,5253
2340497/i-sleep-vs-shidiots-lpl-pro-league-season-4,5228
2340583/esper-vs-mako-esea-mdl-season-33-australia-relegation,5259
2340605/asterius-vs-red-feet-esea-open-season-33-brazil,5255
2340590/buffdaddys-paypal-vs-faint-esea-advanced-season-33-north-america,5253
2340564/front-vs-trivium-esea-advanced-season-33-north-america,5253
2340553/big-chillin-vs-prospects-esea-advanced-season-33-north-america,5253
2340413/100-thieves-vs-swole-patrol-esl-pro-league-season-11-north-america,5246
2340547/skade-vs-turkey5-esea-advanced-season-33-europe,5252
2340088/astralis-vs-vitality-esl-pro-league-season-11-europe,5226
2340496/paradox-vs-airborne-lpl-pro-league-season-4,5228
2340364/geng-vs-mibr-flashpoint-1,5242
2340465/9z-vs-imperial-aorus-league-2020-1-finals,5251
2340355/dignitas-vs-geng-flashpoint-1,5242
2340573/trivium-vs-serac-esea-advanced-season-33-north-america,5253
2340560/unique-vs-hard-legion-megogo-open,5267
2340577/markandlarry-vs-incept-esea-mdl-season-33-australia-relegation,5259
2340554/timbermen-vs-dogs-of-war-esea-advanced-season-33-north-america,5253
2340356/mibr-vs-orgless-flashpoint-1,5242
2340565/serac-vs-rise-esea-advanced-season-33-north-america,5253
2340601/mustang-crew-vs-bluejays-lootbet-season-6-closed-qualifier,5276
